	# reads	% reads	fragment length	sample
11	97546	3.001829175221692	23	qiagen_fastselect_2
12	53694	1.6523508471321586	24	qiagen_fastselect_2
13	77876	2.3965149657552796	25	qiagen_fastselect_2
14	192013	5.908906827771951	26	qiagen_fastselect_2
15	327679	10.083820785142075	27	qiagen_fastselect_2
16	375248	11.547684111532913	28	qiagen_fastselect_2
17	427169	13.145473591436604	29	qiagen_fastselect_2
18	208674	6.421623657661118	30	qiagen_fastselect_2
19	58933	1.8135730709956326	31	qiagen_fastselect_2
20	16858	0.5187792040256626	32	qiagen_fastselect_2
21	8620	0.2652673353126831	33	qiagen_fastselect_2
22	3380	0.1040143379764349	34	qiagen_fastselect_2
23	859	0.02643441311294603	35	qiagen_fastselect_2
24	285	0.008770439740616552	36	qiagen_fastselect_2
25	274	0.008431931540101528	37	qiagen_fastselect_2
26	129	0.003969777987858018	38	qiagen_fastselect_2
27	55	0.0016925410025751242	39	qiagen_fastselect_2
28	34	0.0010462980743191678	40	qiagen_fastselect_2
0	46	0.001796769720524188	12	ribopools_1
1	119	0.004648165146573443	13	ribopools_1
2	395	0.015428783469718571	14	ribopools_1
3	484	0.018905142276819716	15	ribopools_1
4	608	0.023748608479971876	16	ribopools_1
5	1590	0.062105735992031716	17	ribopools_1
6	5997	0.23424408726051207	18	ribopools_1
7	25910	1.0120500751909067	19	ribopools_1
8	132479	5.174657734898346	20	ribopools_1
9	474287	18.525750444309903	21	ribopools_1
10	272668	10.650469699041071	22	ribopools_1
11	90183	3.5225670370876707	23	ribopools_1
12	42574	1.6629494365564517	24	ribopools_1
13	60812	2.3753295705329767	25	ribopools_1
14	152753	5.966564459113724	26	ribopools_1
15	273017	10.664101712790266	27	ribopools_1
16	331187	12.936234205027048	28	ribopools_1
17	375868	14.681483506825773	29	ribopools_1
18	214441	8.376110774759292	30	ribopools_1
19	69695	2.7223014276507236	31	ribopools_1
20	19035	0.7435111223951721	32	ribopools_1
21	9483	0.37040798390719293	33	ribopools_1
22	4225	0.1650293928090151	34	ribopools_1
23	1289	0.05034861238599301	35	ribopools_1
24	335	0.013085170790773978	36	ribopools_1
25	349	0.013632013749194384	37	ribopools_1
26	163	0.006366814444466145	38	ribopools_1
27	105	0.0041013221881530375	39	ribopools_1
28	53	0.0020701911997343904	40	ribopools_1
0	21	0.000638344438500073	12	ribopools_2
1	65	0.001975828023928797	13	ribopools_2
2	367	0.011155828996644131	14	ribopools_2
3	594	0.018056028403287776	15	ribopools_2
